No.,Time,Source,Destination,Protocol,Length,Info
1110,8.346886,192.168.2.13,142.250.193.78,TCP,54,57723  >  80 [ACK] Seq=301 Ack=722945 Win=1603840 Len=0
1111,8.34779,142.250.193.78,192.168.2.13,TCP,1466,80  >  57723 [ACK] Seq=722945 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]
1112,8.34779,142.250.193.78,192.168.2.13,TCP,1466,80  >  57723 [ACK] Seq=724357 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]
1113,8.347809,192.168.2.13,142.250.193.78,TCP,54,57723  >  80 [ACK] Seq=301 Ack=725769 Win=1603840 Len=0
1114,8.348523,142.250.193.78,192.168.2.13,TCP,1466,80  >  57723 [ACK] Seq=725769 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]
1115,8.349009,142.250.193.78,192.168.2.13,TCP,1466,80  >  57723 [ACK] Seq=727181 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]
1116,8.349036,192.168.2.13,142.250.193.78,TCP,54,57723  >  80 [ACK] Seq=301 Ack=728593 Win=1603840 Len=0
1117,8.349483,142.250.193.78,192.168.2.13,TCP,1466,80  >  57723 [ACK] Seq=728593 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]
1118,8.349483,142.250.193.78,192.168.2.13,TCP,1466,"80  >  57723 [PSH, ACK] Seq=730005 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]"
1119,8.349504,192.168.2.13,142.250.193.78,TCP,54,57723  >  80 [ACK] Seq=301 Ack=731417 Win=1603840 Len=0
1120,8.349938,142.250.193.78,192.168.2.13,TCP,1466,80  >  57723 [ACK] Seq=731417 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]
1121,8.350436,142.250.193.78,192.168.2.13,TCP,1466,80  >  57723 [ACK] Seq=732829 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]
1122,8.350436,142.250.193.78,192.168.2.13,TCP,1466,80  >  57723 [ACK] Seq=734241 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]
1123,8.350452,192.168.2.13,142.250.193.78,TCP,54,57723  >  80 [ACK] Seq=301 Ack=735653 Win=1603840 Len=0
1124,8.351036,142.250.193.78,192.168.2.13,TCP,1466,80  >  57723 [ACK] Seq=735653 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]
1125,8.351059,192.168.2.13,142.250.193.78,TCP,54,57723  >  80 [ACK] Seq=301 Ack=737065 Win=1603840 Len=0
1126,8.351276,142.250.193.78,192.168.2.13,TCP,1466,80  >  57723 [ACK] Seq=737065 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]
1127,8.352186,142.250.193.78,192.168.2.13,TCP,1466,"80  >  57723 [PSH, ACK] Seq=738477 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]"
1128,8.352299,192.168.2.13,142.250.193.78,TCP,54,57723  >  80 [ACK] Seq=301 Ack=739889 Win=1603840 Len=0
1129,8.354819,142.250.193.78,192.168.2.13,TCP,1466,80  >  57723 [ACK] Seq=739889 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]
1130,8.355364,142.250.193.78,192.168.2.13,TCP,1466,80  >  57723 [ACK] Seq=741301 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]
1131,8.355364,142.250.193.78,192.168.2.13,TCP,1466,80  >  57723 [ACK] Seq=742713 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]
1132,8.355383,192.168.2.13,142.250.193.78,TCP,54,57723  >  80 [ACK] Seq=301 Ack=744125 Win=1603840 Len=0
1133,8.355813,142.250.193.78,192.168.2.13,TCP,1466,80  >  57723 [ACK] Seq=744125 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]
1134,8.355837,192.168.2.13,142.250.193.78,TCP,54,57723  >  80 [ACK] Seq=301 Ack=745537 Win=1603840 Len=0
1135,8.356984,192.168.2.10,239.255.255.250,SSDP,212,M-SEARCH * HTTP/1.1 
1136,8.364007,142.250.193.78,192.168.2.13,TCP,1466,80  >  57723 [ACK] Seq=745537 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]
1137,8.364007,142.250.193.78,192.168.2.13,TCP,1466,"80  >  57723 [PSH, ACK] Seq=746949 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]"
1138,8.364064,192.168.2.13,142.250.193.78,TCP,54,57723  >  80 [ACK] Seq=301 Ack=748361 Win=1603840 Len=0
1139,8.36436,142.250.193.78,192.168.2.13,TCP,1466,80  >  57723 [ACK] Seq=748361 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]
1140,8.364873,142.250.193.78,192.168.2.13,TCP,1466,80  >  57723 [ACK] Seq=749773 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]
1141,8.364889,192.168.2.13,142.250.193.78,TCP,54,57723  >  80 [ACK] Seq=301 Ack=751185 Win=1603840 Len=0
1142,8.365251,142.250.193.78,192.168.2.13,TCP,1466,80  >  57723 [ACK] Seq=751185 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]
1143,8.365251,142.250.193.78,192.168.2.13,TCP,1466,80  >  57723 [ACK] Seq=752597 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]
1144,8.365266,192.168.2.13,142.250.193.78,TCP,54,57723  >  80 [ACK] Seq=301 Ack=754009 Win=1603840 Len=0
1145,8.366045,142.250.193.78,192.168.2.13,TCP,1466,"80  >  57723 [PSH, ACK] Seq=754009 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]"
1146,8.366045,142.250.193.78,192.168.2.13,TCP,1466,80  >  57723 [ACK] Seq=755421 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]
1147,8.366077,192.168.2.13,142.250.193.78,TCP,54,57723  >  80 [ACK] Seq=301 Ack=756833 Win=1603840 Len=0
1148,8.366565,142.250.193.78,192.168.2.13,TCP,1466,80  >  57723 [ACK] Seq=756833 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]
1149,8.367287,142.250.193.78,192.168.2.13,TCP,1466,80  >  57723 [ACK] Seq=758245 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]
1150,8.367308,192.168.2.13,142.250.193.78,TCP,54,57723  >  80 [ACK] Seq=301 Ack=759657 Win=1603840 Len=0
1151,8.367675,142.250.193.78,192.168.2.13,TCP,1466,"80  >  57723 [PSH, ACK] Seq=759657 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]"
1152,8.367675,142.250.193.78,192.168.2.13,TCP,1466,80  >  57723 [ACK] Seq=761069 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]
1153,8.367702,192.168.2.13,142.250.193.78,TCP,54,57723  >  80 [ACK] Seq=301 Ack=762481 Win=1603840 Len=0
1154,8.368459,142.250.193.78,192.168.2.13,TCP,1466,"80  >  57723 [PSH, ACK] Seq=762481 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]"
1155,8.368459,142.250.193.78,192.168.2.13,TCP,1466,80  >  57723 [ACK] Seq=763893 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]
1156,8.368499,192.168.2.13,142.250.193.78,TCP,54,57723  >  80 [ACK] Seq=301 Ack=765305 Win=1603840 Len=0
