packet_length,inter_arrival_time,ttl,is_tcp,is_udp,is_icmp,src_port,dst_port,syn_flag,ack_flag,fin_flag,rst_flag,is_well_known_port
698,0.001567,1,0,1,0,61386,3702,0,0,0,0,0
718,0.30526,0,0,1,0,61387,3702,0,0,0,0,0
718,0.205815,0,0,1,0,61387,3702,0,0,0,0,0
698,0.203877,1,0,1,0,61386,3702,0,0,0,0,0
698,0.002728,1,0,1,0,61386,3702,0,0,0,0,0
92,0.247736,128,0,1,0,49873,53,0,0,0,0,0
92,0.000349,128,0,1,0,57695,53,0,0,0,0,0
173,0.000201,128,1,0,0,54447,443,0,1,0,0,0
93,7e-05,128,1,0,0,54447,443,0,1,0,0,0
1494,6.2e-05,128,1,0,0,54447,443,0,1,0,0,0
1494,0.0,128,1,0,0,54447,443,0,1,0,0,0
1494,0.0,128,1,0,0,54447,443,0,1,0,0,0
1494,0.0,128,1,0,0,54447,443,0,1,0,0,0
1494,0.0,128,1,0,0,54447,443,0,1,0,0,0
1494,0.0,128,1,0,0,54447,443,0,1,0,0,0
1494,0.0,128,1,0,0,54447,443,0,1,0,0,0
1494,0.0,128,1,0,0,54447,443,0,1,0,0,0
1494,0.0,128,1,0,0,54447,443,0,1,0,0,0
1494,0.0,128,1,0,0,54447,443,0,1,0,0,0
1494,0.0,128,1,0,0,54447,443,0,1,0,0,0
620,0.0,128,1,0,0,54447,443,0,1,0,0,0
1494,0.000168,128,1,0,0,54447,443,0,1,0,0,0
1494,0.0,128,1,0,0,54447,443,0,1,0,0,0
1494,0.0,128,1,0,0,54447,443,0,1,0,0,0
1205,0.0,128,1,0,0,54447,443,0,1,0,0,0
260,0.03504,57,0,1,0,53,49873,0,0,0,0,0
215,0.0,57,0,1,0,53,57695,0,0,0,0,0
54,0.195192,100,1,0,0,443,54447,0,1,0,0,0
54,0.0,100,1,0,0,443,54447,0,1,0,0,0
54,0.0,100,1,0,0,443,54447,0,1,0,0,0
54,0.0,100,1,0,0,443,54447,0,1,0,0,0
54,0.0,100,1,0,0,443,54447,0,1,0,0,0
54,0.0,100,1,0,0,443,54447,0,1,0,0,0
54,0.0,100,1,0,0,443,54447,0,1,0,0,0
54,0.0,100,1,0,0,443,54447,0,1,0,0,0
54,0.0,100,1,0,0,443,54447,0,1,0,0,0
93,0.011462,100,1,0,0,443,54447,0,1,0,0,0
